system:index,Area,Ciudad,mean,.geo
0000000000000000004f,8.643725180495498,ovalle,0.01346936597270499,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,5.626899426647356,padre las casas,2.8295041552899924,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,2.347075002365824,panguipulli,1.9810608236688092,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,8.503028067901381,pedro aguirre cerda,0.0012680716724676523,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,25.25724040120255,penalolen,0.007606975081810197,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,6.172045965923205,penco,7.592422863595431,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,3.817117502800241,pitrufquen,3.1158867342653975,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,1.98992436997667,porvenir,9.821125927980768,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,2.241676770995876,pozo almonte,0.03476106624910615,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,12.781194682576338,providencia,0.03885820896612577,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,6.287539811200022,pucon,2.2206831901630437,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,28.94727081704161,puerto montt,3.975190814649988,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,4.425391254044513,puerto natales,6.64033371420376,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,4.392588452080929,puerto varas,6.925444706688965,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,0.519273122201413,puerto williams,11.955306292442575,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,1.159923688459428,punitaqui,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,26.733785644524612,punta arenas,8.901353563833567,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060,2.810062140948053,purranque,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,1.127762419393995,putaendo,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,0.446836418933428,putre,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,9.435983041033031,quillota,0.20354740579962466,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,1.373437785562304,quinta de tilcoco,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,11.624331325523677,quinta normal,0.17076028513526362,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,4.606952151461162,quintero,14.46183595697965,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,34.249195686091326,rancagua,0.07120167186605623,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,1.342115191151083,renaico,1.180481084185042,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,15.134311364826873,renca,0.1484737972827304,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,6.648716456766661,rengo,0.00780509047696277,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,4.09603382806625,rio bueno,1.1240928435483661,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,1.611338359439651,rio negro,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,2.254996968002542,salamanca,0.06869956276957437,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,13.139094376254622,san antonio,3.8379532224832578,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,6.052720776540415,san carlos,0.012465437066272558,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,8.823193698548746,san felipe,0.41618498362231965,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,8.978519634116934,san fernando,0.0016350947787339926,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,9.636498006201117,san miguel,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,3.734963202753808,santa cruz,0.3722570287398902,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,1.039233667604093,santa maria,0.038121336944935635,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,10.024395953604394,santo domingo,3.3870911395222683,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,6.339676278566597,talagante,0.12845599636832467,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,37.625253847113036,talca,0.41004917978570976,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,32.87731178107284,talcahuano,5.282855026470503,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,2.424477394831314,taltal,9.393802164524777,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,33.81164487928305,temuco,0.9861055160074836,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,1.661835744972487,teno,0.07269571298248584,"{""type"":""MultiPoint"",""coordinates"":[]}"
