system:index,Area,Ciudad,median,.geo
00000000000000000057,2.241676770995876,pozo almonte,0.022401601386566956,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,12.781194682576338,providencia,0.02281965483249056,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,6.287539811200022,pucon,0.018999209631492237,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,28.94727081704161,puerto montt,0.019115820275558196,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,4.425391254044513,puerto natales,0.017871354268635096,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,4.392588452080929,puerto varas,0.018713975660840553,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,0.519273122201413,puerto williams,0.01667352696584293,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,1.159923688459428,punitaqui,0.02042815567127887,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,26.733785644524612,punta arenas,0.017756981154282887,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060,2.810062140948053,purranque,0.018973261510559496,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,1.127762419393995,putaendo,0.019355847183159646,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,0.446836418933428,putre,0.017153291312469458,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,9.435983041033031,quillota,0.02185117956329904,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,1.373437785562304,quinta de tilcoco,0.02091769513097646,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,11.624331325523677,quinta normal,0.022655342156876434,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,4.606952151461162,quintero,0.021375851177100086,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,34.249195686091326,rancagua,0.020912841485301602,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,1.342115191151083,renaico,0.01966504271950095,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,15.134311364826873,renca,0.02277133110822895,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,6.648716456766661,rengo,0.021068091814716656,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,4.09603382806625,rio bueno,0.019378882905487685,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,1.611338359439651,rio negro,0.019146825020030477,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,2.254996968002542,salamanca,0.019584698602557182,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,13.139094376254622,san antonio,0.021355367560284885,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,6.052720776540415,san carlos,0.020332828307866684,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,8.823193698548746,san felipe,0.02055165782655791,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,8.978519634116934,san fernando,0.02036948874592781,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,9.636498006201117,san miguel,0.02227977235392818,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,3.734963202753808,santa cruz,0.020925460678651076,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,1.039233667604093,santa maria,0.020577619035605777,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,10.024395953604394,santo domingo,0.021313995122909546,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,6.339676278566597,talagante,0.021675102412700653,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,37.625253847113036,talca,0.02092863735826997,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,32.87731178107284,talcahuano,0.02136650912538408,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,2.424477394831314,taltal,0.021826956188306212,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,33.81164487928305,temuco,0.01963014149482168,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,1.661835744972487,teno,0.02077921526506543,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,4.279730002424055,tocopilla,0.02288243147943701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,7.272645455691587,tome,0.020157050993365008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,3.491987144645145,traiguen,0.019397788835888594,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,25.88234867238156,valdivia,0.019400259479880333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,6.451857713938181,vallenar,0.0205764469469295,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,26.433622122053244,valparaiso,0.021222401724960004,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,5.671102005217545,victoria,0.019385732240323146,"{""type"":""MultiPoint"",""coordinates"":[]}"
