system:index,Area,Ciudad,median,.geo
00000000000000000056,2.241676770995876,pozo almonte,0.02612503094922345,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,12.781194682576338,providencia,0.027934971757960603,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,6.287539811200022,pucon,0.023996204137802124,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,28.94727081704161,puerto montt,0.0240258644091271,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,4.425391254044513,puerto natales,0.02238002856756386,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,4.392588452080929,puerto varas,0.023117772303521633,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,0.519273122201413,puerto williams,0.022355073131620884,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,1.159923688459428,punitaqui,0.024212919175624847,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,26.733785644524612,punta arenas,0.02325285004962064,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,2.810062140948053,purranque,0.023446461651474237,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060,1.127762419393995,putaendo,0.02302090164778091,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,0.446836418933428,putre,0.022048881379174646,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,9.435983041033031,quillota,0.02596389652127595,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,1.373437785562304,quinta de tilcoco,0.024765749245049873,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,11.624331325523677,quinta normal,0.026937484079375476,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,4.606952151461162,quintero,0.027587347334892747,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,34.249195686091326,rancagua,0.024949672241981198,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,1.342115191151083,renaico,0.02424596798905352,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,15.134311364826873,renca,0.026794389821588993,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,6.648716456766661,rengo,0.025014080107212067,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,4.09603382806625,rio bueno,0.023517743760104924,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,1.611338359439651,rio negro,0.023487573359254586,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,2.254996968002542,salamanca,0.02323971248330429,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,13.139094376254622,san antonio,0.02613830005363999,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,6.052720776540415,san carlos,0.024393815428646222,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,8.823193698548746,san felipe,0.024191160991893966,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,8.978519634116934,san fernando,0.02450056467205286,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,9.636498006201117,san miguel,0.026821933377518134,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,3.734963202753808,santa cruz,0.0250660446472466,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,1.039233667604093,santa maria,0.02423796057701111,"{""type"":""MultiPoint"",""coordinates"":[]}"
